0815	-1.9	1.4	[-1,-1,-1,-2,-4,-4,-2,+0]
Abbau	-1.6	0.7	[-1,-1,-1,-2,-2,-3,-1]
Abbruch	-1.2	0.4	[-1,-1,-1,-2,-1,-1]
Abdankung	-1	1.2	[+0,+0,+0,-2,-3,-1]
Abdämpfung	-0.6	0.7	[-1,-1,+0,-1,-1,-1,+1]
Abfall	-1.8	0.9	[-1,-3,-1,-3,-1,-2]
Abfuhr	-1.1	1.5	[-2,+0,-1,+2,-1,-2,-2,-3]
Abgrund	-1.4	0.5	[-1,-2,-1,-1,-1,-2,-2]
Abhängigkeit	-1.5	0.5	[-2,-2,-1,-1,-1,-2]
Ablehnung	-1.6	0.5	[-1,-1,-1,-2,-2,-2,-2]
Ablenkung	-0.7	0.5	[-1,+0,-1,-1,+0,-1]
Abmachung	0.6	1.2	[+1,+1,+1,-2,+0,+1,+2]
Abneigung	-1.4	0.5	[-2,-1,-1,-2,-1,-2,-1]
Abnutzung	-1.3	0.5	[-1,-1,-1,-2,-1,-1,-2]
Abriss	-1.6	0.8	[-2,+0,-1,-2,-2,-3,-1,-2,-1]
Abrutsch	-1.2	0.7	[-1,-1,-1,-2,-2,-2,+0,-1]
Abschaffung	-1.3	0.9	[-1,-1,+0,-1,-3,-2,-1]
Abschreckung	-1.3	0.7	[-2,-1,-1,-2,-2,+0]
Abschreibung	0.1	1.4	[+0,+0,+1,+3,-1,-1,-1]
Abschuss	-1.3	1.2	[-2,-1,-1,+1,-2,-2,+0,-3,-2]
Abschuß	-0.6	2.1	[+0,-2,+0,+4,-2,-3,-1]
Abschwächung	-1.1	0.6	[-2,-1,+0,-1,-1,-2,-1]
Absenkung	-0.7	0.7	[+0,+0,+0,-1,-2,-1]
Abspaltung	-1.1	0.3	[-1,-1,-1,-1,-1,-2,-1]
Absperrung	-1.4	0.7	[-1,-1,-1,-1,-3,-2,-1]
Abstieg	-1.1	0.7	[-1,+0,+0,-1,-2,-1,-2,-2,-1]
Abstimmung	1	0.6	[+1,+0,+2,+1,+1]
Abstoß	-0.9	1	[+0,+0,+0,-2,+0,-2,-2]
Abstrich	-0.7	0.9	[-1,-1,-1,-2,+0,+1,-1]
Abstumpfung	-1.5	0.5	[-2,-2,-1,-1,-1,-1,-2,-2]
Absturz	-1.3	2	[-2,-2,-1,+3,-1,-2,-4]
Absurdität	-0.8	0.4	[-1,+0,-1,-1,-1,-1]
Abweichung	-1.1	0.9	[+0,+0,+0,-2,-2,-2,-1,-2]
Abweisung	-2	0.9	[-1,-1,-1,-2,-3,-3,-3,-2]
Abwertung	-1.7	0.7	[-1,-1,-1,-2,-2,-3,-2,-2]
Abwärtstrend	-1.4	1.2	[-1,-1,+0,-2,-4,-1,-1]
Abzocke	-0.7	2.1	[-2,-2,-1,+4,-1,-2]
Achi	0.3	0.5	[+1,+1,+0,+0,+0,+0]
Achtlosigkeit	-1.5	0.5	[-1,-1,-1,-2,-2,-2]
Affäre	-1.8	1.2	[-3,-3,-1,-3,+0,-1]
Aggression	-2.3	0.5	[-3,-2,-2,-3,-2,-2,-2]
Aggressivität	-2.7	0.5	[-3,-2,-2,-3,-3,-3]
Aggressor	-2	1	[-1,-2,-2,-4,-1,-2]
Agilität	1.4	1.3	[+2,+1,+1,+3,+3,+1,-1]
Agitation	-0.3	0.7	[+0,+0,-2,+0,+0,+0]
Aktivität	1.5	1	[+2,+1,+1,+3,+0,+2]
Aktualisierung	1	0.9	[+0,+1,+0,+2,+2,+2,+0,+1]
Aktualität	0.6	0.7	[+0,+0,+0,+1,+1,+2,+0,+1]
Akzeptanz	1.6	0.7	[+1,+2,+1,+1,+3,+1,+2,+2]
Alarm	-1.1	0.8	[-2,-1,-1,+0,-2,+0,-2]
Albtraum	-1.9	1.1	[-3,-3,-1,+0,-3,-1,-2]
Alda 	0.9	0.9	[+1,+1,+0,+1,+3,+0,+0,+1]
Alptraum	-2.3	0.9	[-4,-3,-1,-2,-2,-2,-2]
Alter	0.3	1.2	[+0,+0,+0,+0,+3,-1]
Amateur	-0.9	1.1	[+1,+0,-1,-2,-2,+0,-1,-2]
Ambivalenz	-0.7	1.2	[+0,-2,+0,+0,-3,+0,+0]
Andrang	-0.1	1.6	[-1,-1,-1,+1,+2,-2,-1,-1,+3]
Androhung	-1.9	0.8	[-1,-2,-1,-1,-2,-3,-2,-3]
Anerkennung	1.7	0.5	[+1,+2,+1,+2,+2,+2,+2]
Anfälligkeit	-1.4	0.5	[-1,-2,-1,-2,-1,-1,-2]
Angebot	1.2	1.3	[+1,+1,+0,+4,+0,+1]
Angemessenheit	1	0.9	[+1,+1,+0,+3,+0,+1,+1]
Angreifer	-1.9	0.8	[-2,-1,-1,-3,-1,-2,-3]
Angriff	-1.2	2.3	[-2,-2,-2,+4,-2,-3]
Angst	-2.3	0.9	[-3,-3,-1,-1,-3,-3,-2]
Anhebung	1.3	1	[+0,+0,+1,+3,+2,+1,+2]
Anheiterung	0.7	1.2	[+1,+1,+1,-1,+2,+2,-1]
Anklage	-1.5	0.8	[-1,-1,-1,-1,-3,-2]
Ankurbelung	1	0.5	[+0,+1,+1,+1,+2,+1,+1]
Anmaßung	-0.7	0.9	[-1,-1,-1,-2,+1,+0]
Annehmlichkeit	1.7	1.2	[+1,+1,+1,+4,+3,+1,+1]
Annullierung	-1.2	0.9	[-1,-1,+0,-3,-1,-1]
Annäherung	1.2	0.4	[+1,+1,+1,+1,+2,+1]
Anomalie	-0.7	1.1	[+0,+0,+0,-3,+0,-1]
Anpassung	0.9	0.6	[+1,+0,+0,+1,+1,+1,+2]
Anpassungsfähigkeit	2.1	0.8	[+2,+1,+1,+3,+3,+2,+3]
Anreicherung	0.4	1.5	[+0,+1,+0,-2,+4,+0,+0,+1,+0]
Anspannung	-1.1	0.3	[-1,-1,-1,-1,-1,-1,-2,-1]
Anspruch	0.8	0.8	[+1,+0,+0,+2,+1,+0,+0,+2]
Anstand	1.5	0.5	[+1,+2,+1,+1,+2,+2,+1,+2]
Anstieg	1.1	0.8	[+1,+1,+0,+3,+1,+1,+1]
Anstrengung	-0.7	0.8	[-1,+0,-1,+1,-1,-2,-1,-1]
Anständigkeit	2	0.8	[+2,+1,+1,+3,+3,+2,+2,+1,+3]
Antipathie	-0.8	0.9	[-2,-2,-1,+0,+0,+0]
Anziehung	1.7	1.1	[+3,+1,+0,+3,+1,+2]
Applaus	2.8	0.8	[+3,+2,+4,+2,+4,+3,+2,+2,+3]
Arbeitslose	-2.1	1	[-2,-2,-1,-1,-4,-3,-2]
Arbeitslosigkeit	-2	0.9	[-3,-3,-1,-2,-3,-1,-1]
Armut	-2.7	0.9	[-3,-2,-1,-4,-3,-3,-3]
Arroganz	-1.2	1.4	[-2,-2,-1,+2,-3,-2,-1,-1]
Arschfax	-1.3	0.9	[-1,-1,-1,-3,+0,-2,-1]
Arschkeks	-1.4	0.9	[-1,-2,-1,+0,-3,-1,-2]
Arschloch	-2.6	0.9	[-3,-3,-1,-2,-4,-3,-2]
Asi	-2.3	1.2	[-2,-2,-1,-4,-1,-4,-2]
Attacke	-1.9	0.8	[-1,-2,-1,-1,-3,-3,-2]
Attraktivität	2.3	1	[+3,+2,+1,+4,+3,+2,+1]
Aufbereitung	1.5	0.8	[+1,+1,+1,+2,+3,+1]
Aufbesserung	1.4	1	[+2,+2,+0,+2,+3,+1,+0,+1]
Auferstehung	2	1.1	[+3,+3,+1,+3,+3,+0,+2,+1]
Aufhebung	-0.4	0.9	[+0,+0,+0,-1,-1,+1,-2]
Auflösung	-0.2	0.7	[-1,-1,+0,+0,-1,+0,+0,+1]
Aufmerksamkeit	1.6	1.3	[+3,+1,+0,+3,+1,+0,+3]
Aufmunterung	2.1	0.8	[+3,+2,+1,+1,+3,+3,+2]
Aufregung	-0.3	1.2	[+0,+0,+0,+2,-1,-2,-1]
Aufrichtigkeit	1.1	1.9	[+3,+3,+1,+2,-3,+1,+1]
Aufruhr	-1.2	0.4	[-1,-1,-1,-1,-1,-2]
Aufschrei	-1.3	0.7	[-1,-2,-2,-2,+0,-1,-1]
Aufschwung	1.7	0.7	[+1,+1,+1,+2,+3,+2,+2]
Aufstand	-1.1	0.3	[-1,-1,-1,-1,-1,-2,-1]
Aufstieg	1.8	1.1	[+1,+1,+1,+1,+3,+4,+2,+1]
Aufstockung	1	0.6	[+1,+1,+0,+2,+1,+1]
Auftrag	0.4	0.7	[+1,+0,+0,+2,+0,+0,+0]
Auftrieb	1.3	0.5	[+1,+1,+1,+2,+1,+2]
Aufwertung	1.8	0.8	[+1,+1,+1,+2,+3,+3,+1,+2,+2]
Aufwärtstrend	2	1.1	[+2,+2,+0,+2,+3,+4,+1,+2]
Augenweide	2.7	0.7	[+3,+4,+2,+3,+2,+2]
Ausbau	1.1	0.8	[+0,+0,+1,+2,+2,+1,+2,+1]
Ausbeute	-0.6	1.9	[-2,-2,+1,-3,+2,-2,-1,+2]
Ausbeuter	-2.3	0.7	[-3,-2,-1,-2,-3,-2,-3]
Ausbeutung	-2.6	0.5	[-3,-3,-2,-2,-2,-3,-3]
Ausbildung	1.6	0.5	[+2,+2,+1,+2,+2,+1,+1]
Ausbruch	-1.2	1.6	[-2,-1,+0,+2,-3,-2,-1,-3]
Ausdauer	1.9	0.6	[+2,+2,+1,+2,+3,+1,+2]
Auseinandersetzung	-1.4	0.7	[-1,-1,-1,-1,-1,-3,-2,-1]
Ausfall	-1.4	0.7	[-3,-1,-1,-1,-2,-1,-1]
Ausgleich	0.7	0.7	[+0,+0,+1,+2,+1,+0,+1]
Ausgleichszahlung	1.4	1.2	[+1,+0,+1,+4,+2,+1,+1]
Ausgrenzung	-1.6	0.7	[-2,-1,-1,-1,-2,-1,-1,-3,-2]
Auslöschung	-2.9	1	[-3,-4,-3,-4,-1,-3,-2]
Ausrottung	-3.1	0.6	[-3,-3,-3,-4,-3,-4,-2]
Ausschließung	-1.7	0.7	[-1,-2,-1,-2,-2,-2,-1,-1,-3]
Aussetzung	-0.6	1.5	[+0,-2,-1,+3,-1,-1,-1,-2]
Auszeichnung	2.5	0.8	[+2,+3,+1,+3,+3,+3]
Authentizität	1.5	0.8	[+1,+1,+1,+3,+2,+1]
Autonomie	-0.6	0.5	[-1,+0,+0,-1,+0,-1,-1]
Babo	1.3	1.6	[+0,+2,+0,+4,+3,+0,+0]
Banalität	-1.1	0.6	[+0,-1,-1,-2,-1,-1,-2]
Bankrott	-2.5	1.2	[-2,-1,-1,-4,-4,-2,-2,-4]
Bankster	0.3	1.3	[-1,+1,-1,+3,+0,+0,+0]
Barriere	-0.7	0.8	[+0,-1,+0,-1,-2,+0,-2,+0]
Bedeutung	0.8	0.7	[+1,+0,+0,+2,+1]
Bedeutungslosigkeit	-1.9	1.1	[-3,-2,-1,-3,+0,-1,-3]
Bedrohung	-2.4	0.7	[-3,-3,-2,-2,-1,-3,-3]
Bedrängung	-1.7	0.7	[-2,-1,-1,-2,-1,-2,-2,-3]
Bedrückung	-1.6	0.7	[-1,-1,-1,-1,-2,-3,-2,-2]
Bedürftige	-0.9	0.6	[-1,-1,+0,-1,-2,+0,-1]
Beeinträchtigung	-1.7	0.7	[-2,-2,-1,-1,-3,-2,-1]
Befall	-1.8	0.9	[-2,-2,+0,-2,-3,-1,-1,-2,-3]
Befangenheit	-1.1	1	[-1,-2,-1,+1,-2,-1,-2]
Befreiung	1.7	1.3	[+2,+1,+1,+3,+4,+0,+1]
Befriedigung	2	1.1	[+1,+3,+1,+4,+2,+1,+2]
Beförderung	2.6	0.9	[+2,+3,+1,+4,+3,+3,+2]
Befürchtung	-1.4	0.7	[-1,-3,-1,-1,-1,-2,-1]
Begeisterung	2.5	0.7	[+2,+3,+1,+3,+3,+3,+2,+3]
